Game;Trick 1 Time;Trick 1 Attempts;Trick 2 Time;Trick 2 Attempts;Trick 3 Time;Trick 3 Attempts;Trick 4 Time;Trick 4 Attempts;Trick 5 Time;Trick 5 Attempts;Trick 6 Time;Trick 6 Attempts;Trick 7 Time;Trick 7 Attempts;Trick 8 Time;Trick 8 Attempts;Trick 9 Time;Trick 9 Attempts;Trick 10 Time;Trick 10 Attempts;Trick 11 Time;Trick 11 Attempts;Trick 12 Time;Trick 12 Attempts
1;0,003155946731567383;8;0,005731344223022461;3;0,47920703887939453;587;0,32776665687561035;272;0,0;1;0,08089113235473633;70;0,009907245635986328;3;0,002462625503540039;5;0,0012791156768798828;4;0,017999649047851562;12;0,004252910614013672;2;0,001436471939086914;1
2;0,012444257736206055;12;0,0024080276489257812;6;0,4311399459838867;440;0,060461997985839844;64;0,17677593231201172;180;0,012282609939575195;4;0,0012912750244140625;2;0,0010094642639160156;1;0,04856276512145996;28;0,0;3;0,0;4;0,0006134510040283203;1
3;0,3851044178009033;488;0,19091272354125977;221;0,10775113105773926;78;0,013021230697631836;16;0,017776012420654297;24;0,0037779808044433594;6;0,0020759105682373047;2;0,002018451690673828;2;0,002864837646484375;4;0,002008676528930664;1;0,001004934310913086;2;0,0022208690643310547;1
4;0,0015516281127929688;3;0,0020170211791992188;4;0,21968555450439453;216;0,0;2;0,016004323959350586;1;0,0013642311096191406;1;0,024585962295532227;24;0,004848480224609375;5;0,0011959075927734375;4;0,0020134449005126953;3;0,001482248306274414;2;0,0010924339294433594;1
5;0,0012359619140625;2;0,01983928680419922;28;0,0030059814453125;6;0,08668375015258789;72;0,008683443069458008;1;0,0;4;0,05176234245300293;48;0,018663883209228516;12;0,08234214782714844;73;0,02729487419128418;9;0,013463973999023438;8;0,003781557083129883;1
6;0,005171298980712891;4;0,015368223190307617;20;0,013921260833740234;14;0,31947755813598633;373;0,17172002792358398;150;0,0557248592376709;42;0,0;3;0,11800789833068848;109;0,0;1;0,023582935333251953;16;0,008054018020629883;3;0,003461122512817383;1
7;0,5436322689056396;659;0,0011196136474609375;5;0,23063206672668457;162;0,005473613739013672;3;0,0016825199127197266;2;0,07023191452026367;70;0,0;2;0,1486682891845703;78;0,001104116439819336;2;0,0;2;0,02343606948852539;14;0,0009272098541259766;2
8;0,0019981861114501953;4;0,0013720989227294922;3;0,001069784164428711;2;0,0020253658294677734;3;0,0033979415893554688;4;0,0010001659393310547;2;0,005425691604614258;4;0,0010678768157958984;1;0,008462190628051758;8;0,0070879459381103516;9;0,004555225372314453;4;0,0010211467742919922;1
9;0,011466264724731445;21;0,0023145675659179688;5;0,45259618759155273;536;0,010187149047851562;2;0,010015010833740234;8;0,0011451244354248047;3;0,09807777404785156;77;0,01572132110595703;6;0,005857944488525391;4;0,0;1;0,007315635681152344;4;0,0016052722930908203;1
10;0,0015761852264404297;6;0,002586841583251953;3;0,0009987354278564453;2;0,0;1;0,05875658988952637;52;0,0;7;0,002621173858642578;2;0,004110574722290039;5;0,005476951599121094;6;0,014286041259765625;6;0,0;2;0,0029523372650146484;1

1;1,4044477939605713;1518;55,1003532409668;48680;8,163161754608154;7452;39,61750507354736;25638;0,16651105880737305;138;0,06098484992980957;29;0,2991647720336914;234;0,293245792388916;164;0,6799795627593994;468;0,0409390926361084;14;0,007599353790283203;4;0,002160310745239258;1
2;1,0681662559509277;952;1,892967700958252;1536;16,34133267402649;13340;0,7495627403259277;675;0,24133872985839844;152;0,06945562362670898;60;0,16156339645385742;84;1,4980700016021729;744;0,024209976196289062;6;0,24475383758544922;84;0,0;2;0,0;2
3;513,2509934902191;438832;0,3178884983062744;242;3,9000930786132812;3398;0,22295498847961426;132;0,6136875152587891;310;23,8521945476532;13220;0,09357333183288574;36;0,4677865505218506;288;0,06550908088684082;27;0,050234317779541016;20;0,013630390167236328;6;0,006893634796142578;2
4;0,7483410835266113;678;1,4032621383666992;1304;12,219616413116455;9250;9,343049764633179;5487;0,7568192481994629;422;2,549656867980957;1228;0,2229924201965332;76;0,1448667049407959;60;0,10365557670593262;30;0,08247137069702148;19;0,026433467864990234;16;0,0026290416717529297;1
5;12,078266859054565;9344;41,9606990814209;30276;4,106966495513916;2700;1,8749165534973145;1674;113,2077853679657;72208;29,388872861862183;19534;0,05552220344543457;36;0,05705380439758301;27;1,7778844833374023;912;0,014010429382324219;8;0,003013134002685547;2;0,002919435501098633;1
6;22,052926301956177;17820;53,695594787597656;38226;17,305931568145752;10472;69,88330602645874;58707;0,9431343078613281;456;0,2993478775024414;198;1,095273494720459;660;0,05791354179382324;24;0,9482181072235107;684;1,2676079273223877;624;0,01005697250366211;2;0,006951332092285156;4
7;136,13368463516235;85570;5,288602113723755;4428;0,5620083808898926;595;2,9153988361358643;2632;2,1122782230377197;1827;8,381216764450073;6192;0,3259615898132324;285;2,1928322315216064;1552;0,2915349006652832;195;0,32957911491394043;176;0,010291099548339844;4;0,0012359619140625;1
8;1,1976616382598877;1144;0,4724397659301758;536;1,6344149112701416;1170;0,3828771114349365;260;5,730294466018677;2814;0,1462688446044922;68;0,13022637367248535;52;0,032431602478027344;10;0,06626486778259277;30;0,018510818481445312;4;0,011250495910644531;4;0,0;1
9;6,678914546966553;6200;1,458660364151001;1308;1,933286190032959;1620;0,18601775169372559;182;0,44056177139282227;329;0,12556982040405273;66;0,05702567100524902;30;0,12654781341552734;70;0,10021591186523438;60;0,018553495407104492;3;0,0060536861419677734;2;0,0021889209747314453;1
10;0,7750663757324219;741;2,1041555404663086;1848;6,111809015274048;5256;60,25169396400452;47152;1,9518439769744873;1686;0,6798622608184814;396;1,8224620819091797;936;0,0834815502166748;28;0,3535294532775879;126;0,08870220184326172;44;0,004141330718994141;2;0,0020072460174560547;1

2811,5168302059174;2061144;891,8429901599884;684692;559,0756063461304;353600;86,98144006729126;51120;1346,1266903877258;579288;19,97710657119751;8016;13,296066045761108;6288;74,45651078224182;24736;3,057811975479126;1008;0,35071611404418945;79;0,0;1;0,0;1
45:33:91;1526532;07:39:06;265404;121:33:96;4379570
